initial_alias,converted_alias,name,description,namespace
ENSMUSG00000084760,ENSMUSG00000084760,Gm15472,predicted gene 15472 [Source:MGI Symbol;Acc:MGI:3707328],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046798,ENSMUSG00000046798,Cldn12,claudin 12 [Source:MGI Symbol;Acc:MGI:1929288],"ARRAYEXPRESS,ENSG"
ENSMUSG00000079481,ENSMUSG00000079481,Nhsl2,NHS-like 2 [Source:MGI Symbol;Acc:MGI:3645090],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022280,ENSMUSG00000022280,Rnf19a,ring finger protein 19A [Source:MGI Symbol;Acc:MGI:1353623],"ARRAYEXPRESS,ENSG"
ENSMUSG00000049191,ENSMUSG00000049191,Rtl5,retrotransposon Gag like 5 [Source:MGI Symbol;Acc:MGI:3045324],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104724,ENSMUSG00000104724,Gm43162,predicted gene 43162 [Source:MGI Symbol;Acc:MGI:5663299],"ARRAYEXPRESS,ENSG"
ENSMUSG00000055897,ENSMUSG00000055897,Ppp4r1l-ps,"protein phosphatase 4, regulatory subunit 1-like, pseudogene [Source:MGI Symbol;Acc:MGI:1924560]","ARRAYEXPRESS,ENSG"
ENSMUSG00000044177,ENSMUSG00000044177,Wfikkn2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:MGI Symbol;Acc:MGI:2669209]","ARRAYEXPRESS,ENSG"
ENSMUSG00000108633,ENSMUSG00000108633,Gm44694,predicted gene 44694 [Source:MGI Symbol;Acc:MGI:5753270],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025359,ENSMUSG00000025359,Pmel,premelanosome protein [Source:MGI Symbol;Acc:MGI:98301],"ARRAYEXPRESS,ENSG"
ENSMUSG00000090584,ENSMUSG00000090584,Gm17169,predicted gene 17169 [Source:MGI Symbol;Acc:MGI:4937996],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102721,ENSMUSG00000102721,A630081D01Rik,RIKEN cDNA A630081D01 gene [Source:MGI Symbol;Acc:MGI:2138649],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038648,ENSMUSG00000038648,Creb3l2,cAMP responsive element binding protein 3-like 2 [Source:MGI Symbol;Acc:MGI:2442695],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030852,ENSMUSG00000030852,Tacc2,"transforming, acidic coiled-coil containing protein 2 [Source:MGI Symbol;Acc:MGI:1928899]","ARRAYEXPRESS,ENSG"
ENSMUSG00000035133,ENSMUSG00000035133,Arhgap5,Rho GTPase activating protein 5 [Source:MGI Symbol;Acc:MGI:1332637],"ARRAYEXPRESS,ENSG"
ENSMUSG00000029322,ENSMUSG00000029322,Plac8,placenta-specific 8 [Source:MGI Symbol;Acc:MGI:2445289],"ARRAYEXPRESS,ENSG"
ENSMUSG00000065272,ENSMUSG00000065272,Snord57,"small nucleolar RNA, C/D box 57 [Source:MGI Symbol;Acc:MGI:3819544]","ARRAYEXPRESS,ENSG"
ENSMUSG00000114193,ENSMUSG00000114193,Gm48139,"predicted gene, 48139 [Source:MGI Symbol;Acc:MGI:6097504]","ARRAYEXPRESS,ENSG"
ENSMUSG00000020638,ENSMUSG00000020638,Cmpk2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99830]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025876,ENSMUSG00000025876,Unc5a,unc-5 netrin receptor A [Source:MGI Symbol;Acc:MGI:894682],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026779,ENSMUSG00000026779,Mastl,microtubule associated serine/threonine kinase-like [Source:MGI Symbol;Acc:MGI:1914371],"ARRAYEXPRESS,ENSG"
ENSMUSG00000089829,ENSMUSG00000089829,Gm16565,predicted gene 16565 [Source:MGI Symbol;Acc:MGI:4414985],"ARRAYEXPRESS,ENSG"
ENSMUSG00000047534,ENSMUSG00000047534,Mis18bp1,MIS18 binding protein 1 [Source:MGI Symbol;Acc:MGI:2145099],"ARRAYEXPRESS,ENSG"
ENSMUSG00000004633,ENSMUSG00000004633,Chn2,chimerin 2 [Source:MGI Symbol;Acc:MGI:1917243],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111971,ENSMUSG00000111971,Gm48678,"predicted gene, 48678 [Source:MGI Symbol;Acc:MGI:6098299]","ARRAYEXPRESS,ENSG"
ENSMUSG00000039236,ENSMUSG00000039236,Isg20,interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895],"ARRAYEXPRESS,ENSG"
ENSMUSG00000021457,ENSMUSG00000021457,Syk,spleen tyrosine kinase [Source:MGI Symbol;Acc:MGI:99515],"ARRAYEXPRESS,ENSG"
ENSMUSG00000015243,ENSMUSG00000015243,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]","ARRAYEXPRESS,ENSG"
ENSMUSG00000107647,ENSMUSG00000107647,Gm44445,"predicted gene, 44445 [Source:MGI Symbol;Acc:MGI:5690837]","ARRAYEXPRESS,ENSG"
ENSMUSG00000000142,ENSMUSG00000000142,Axin2,axin 2 [Source:MGI Symbol;Acc:MGI:1270862],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030447,ENSMUSG00000030447,Cyfip1,cytoplasmic FMR1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1338801],"ARRAYEXPRESS,ENSG"
ENSMUSG00000064945,ENSMUSG00000064945,Rny3,"RNA, Y3 small cytoplasmic (associated with Ro protein) [Source:MGI Symbol;Acc:MGI:107304]","ARRAYEXPRESS,ENSG"
ENSMUSG00000077611,ENSMUSG00000077611,Gm23946,"predicted gene, 23946 [Source:MGI Symbol;Acc:MGI:5453723]","ARRAYEXPRESS,ENSG"
ENSMUSG00000046591,ENSMUSG00000046591,Ticrr,TOPBP1-interacting checkpoint and replication regulator [Source:MGI Symbol;Acc:MGI:1924261],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037855,ENSMUSG00000037855,Zfp365,zinc finger protein 365 [Source:MGI Symbol;Acc:MGI:2143676],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103192,ENSMUSG00000103192,Gm37645,"predicted gene, 37645 [Source:MGI Symbol;Acc:MGI:5610873]","ARRAYEXPRESS,ENSG"
ENSMUSG00000088008,ENSMUSG00000088008,Gm25492,"predicted gene, 25492 [Source:MGI Symbol;Acc:MGI:5455269]","ARRAYEXPRESS,ENSG"
ENSMUSG00000106847,ENSMUSG00000106847,Peg13,paternally expressed 13 [Source:MGI Symbol;Acc:MGI:2663476],"ARRAYEXPRESS,ENSG"
ENSMUSG00000024511,ENSMUSG00000024511,Rab27b,"RAB27B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1931295]","ARRAYEXPRESS,ENSG"
ENSMUSG00000023267,ENSMUSG00000023267,Gabrr2,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2 [Source:MGI Symbol;Acc:MGI:95626]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103739,ENSMUSG00000103739,Gm37653,"predicted gene, 37653 [Source:MGI Symbol;Acc:MGI:5610881]","ARRAYEXPRESS,ENSG"
ENSMUSG00000054717,ENSMUSG00000054717,Hmgb2,high mobility group box 2 [Source:MGI Symbol;Acc:MGI:96157],"ARRAYEXPRESS,ENSG"
ENSMUSG00000029561,ENSMUSG00000029561,Oasl2,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390],"ARRAYEXPRESS,ENSG"
ENSMUSG00000032899,ENSMUSG00000032899,Styk1,serine/threonine/tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:2141396],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026389,ENSMUSG00000026389,Steap3,STEAP family member 3 [Source:MGI Symbol;Acc:MGI:1915678],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103261,ENSMUSG00000103261,Gm36981,"predicted gene, 36981 [Source:MGI Symbol;Acc:MGI:5610209]","ARRAYEXPRESS,ENSG"
ENSMUSG00000017550,ENSMUSG00000017550,Atad5,"ATPase family, AAA domain containing 5 [Source:MGI Symbol;Acc:MGI:2442925]","ARRAYEXPRESS,ENSG"
ENSMUSG00000021069,ENSMUSG00000021069,Pygl,liver glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97829],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111017,ENSMUSG00000111017,Gm48314,"predicted gene, 48314 [Source:MGI Symbol;Acc:MGI:6097766]","ARRAYEXPRESS,ENSG"
ENSMUSG00000104897,ENSMUSG00000104897,Gm43203,predicted gene 43203 [Source:MGI Symbol;Acc:MGI:5663340],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026950,ENSMUSG00000026950,Neb,nebulin [Source:MGI Symbol;Acc:MGI:97292],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104925,ENSMUSG00000104925,Gm43061,predicted gene 43061 [Source:MGI Symbol;Acc:MGI:5663198],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030231,ENSMUSG00000030231,Plekha5,"pleckstrin homology domain containing, family A member 5 [Source:MGI Symbol;Acc:MGI:1923802]","ARRAYEXPRESS,ENSG"
ENSMUSG00000103774,ENSMUSG00000103774,Gm36932,"predicted gene, 36932 [Source:MGI Symbol;Acc:MGI:5610160]","ARRAYEXPRESS,ENSG"
ENSMUSG00000065016,ENSMUSG00000065016,Snora3,"small nucleolar RNA, H/ACA box 3 [Source:MGI Symbol;Acc:MGI:3819498]","ARRAYEXPRESS,ENSG"
ENSMUSG00000057135,ENSMUSG00000057135,Scimp,SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314],"ARRAYEXPRESS,ENSG"
ENSMUSG00000094212,ENSMUSG00000094212,Trav14-3,T cell receptor alpha variable 14-3 [Source:MGI Symbol;Acc:MGI:3702149],"ARRAYEXPRESS,ENSG"
ENSMUSG00000105842,ENSMUSG00000105842,Gm43329,predicted gene 43329 [Source:MGI Symbol;Acc:MGI:5663466],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022389,ENSMUSG00000022389,Tef,thyrotroph embryonic factor [Source:MGI Symbol;Acc:MGI:98663],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028967,ENSMUSG00000028967,Errfi1,ERBB receptor feedback inhibitor 1 [Source:MGI Symbol;Acc:MGI:1921405],"ARRAYEXPRESS,ENSG"
ENSMUSG00000002083,ENSMUSG00000002083,Bbc3,BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027330,ENSMUSG00000027330,Cdc25b,cell division cycle 25B [Source:MGI Symbol;Acc:MGI:99701],"ARRAYEXPRESS,ENSG"
ENSMUSG00000035283,ENSMUSG00000035283,Adrb1,"adrenergic receptor, beta 1 [Source:MGI Symbol;Acc:MGI:87937]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026039,ENSMUSG00000026039,Sgo2a,shugoshin 2A [Source:MGI Symbol;Acc:MGI:1098767],"ARRAYEXPRESS,ENSG"
ENSMUSG00000096965,ENSMUSG00000096965,3300005D01Rik,RIKEN cDNA 3300005D01 gene [Source:MGI Symbol;Acc:MGI:1925762],"ARRAYEXPRESS,ENSG"
ENSMUSG00000095332,ENSMUSG00000095332,Gm9821,predicted gene 9821 [Source:MGI Symbol;Acc:MGI:3704208],"ARRAYEXPRESS,ENSG"
ENSMUSG00000021703,ENSMUSG00000021703,Serinc5,serine incorporator 5 [Source:MGI Symbol;Acc:MGI:2444223],"ARRAYEXPRESS,ENSG"
ENSMUSG00000105199,ENSMUSG00000105199,Gm43581,predicted gene 43581 [Source:MGI Symbol;Acc:MGI:5663718],"ARRAYEXPRESS,ENSG"
ENSMUSG00000015340,ENSMUSG00000015340,Cybb,"cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]","ARRAYEXPRESS,ENSG"
ENSMUSG00000083282,ENSMUSG00000083282,Ctsf,cathepsin F [Source:MGI Symbol;Acc:MGI:1861434],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103558,ENSMUSG00000103558,Gm38220,"predicted gene, 38220 [Source:MGI Symbol;Acc:MGI:5611448]","ARRAYEXPRESS,ENSG"
ENSMUSG00000056498,ENSMUSG00000056498,Tmem154,transmembrane protein 154 [Source:MGI Symbol;Acc:MGI:2444725],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027009,ENSMUSG00000027009,Itga4,integrin alpha 4 [Source:MGI Symbol;Acc:MGI:96603],"ARRAYEXPRESS,ENSG"
ENSMUSG00000050777,ENSMUSG00000050777,Tmem37,transmembrane protein 37 [Source:MGI Symbol;Acc:MGI:2157899],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022610,ENSMUSG00000022610,Mapk12,mitogen-activated protein kinase 12 [Source:MGI Symbol;Acc:MGI:1353438],"ARRAYEXPRESS,ENSG"
ENSMUSG00000023505,ENSMUSG00000023505,Cdca3,cell division cycle associated 3 [Source:MGI Symbol;Acc:MGI:1315198],"ARRAYEXPRESS,ENSG"
ENSMUSG00000076431,ENSMUSG00000076431,Sox4,SRY (sex determining region Y)-box 4 [Source:MGI Symbol;Acc:MGI:98366],"ARRAYEXPRESS,ENSG"
ENSMUSG00000073700,ENSMUSG00000073700,Klhl21,kelch-like 21 [Source:MGI Symbol;Acc:MGI:1919288],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103089,ENSMUSG00000103089,Gm38118,"predicted gene, 38118 [Source:MGI Symbol;Acc:MGI:5611346]","ARRAYEXPRESS,ENSG"
ENSMUSG00000074731,ENSMUSG00000074731,Zfp345,zinc finger protein 345 [Source:MGI Symbol;Acc:MGI:3652219],"ARRAYEXPRESS,ENSG"
ENSMUSG00000091997,ENSMUSG00000091997,Gm6611,predicted gene 6611 [Source:MGI Symbol;Acc:MGI:3645568],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102672,ENSMUSG00000102672,Gm37105,"predicted gene, 37105 [Source:MGI Symbol;Acc:MGI:5610333]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041481,ENSMUSG00000041481,Serpina3g,"serine (or cysteine) peptidase inhibitor, clade A, member 3G [Source:MGI Symbol;Acc:MGI:105046]","ARRAYEXPRESS,ENSG"
ENSMUSG00000108780,ENSMUSG00000108780,5430434F05Rik,RIKEN cDNA 5430434F05 gene [Source:MGI Symbol;Acc:MGI:1925345],"ARRAYEXPRESS,ENSG"
ENSMUSG00000048027,ENSMUSG00000048027,Rgmb,repulsive guidance molecule family member B [Source:MGI Symbol;Acc:MGI:1916049],"ARRAYEXPRESS,ENSG"
ENSMUSG00000076472,ENSMUSG00000076472,Trbv15,"T cell receptor beta, variable 15 [Source:MGI Symbol;Acc:MGI:98586]","ARRAYEXPRESS,ENSG"
ENSMUSG00000040084,ENSMUSG00000040084,Bub1b,"BUB1B, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1333889]","ARRAYEXPRESS,ENSG"
ENSMUSG00000115624,ENSMUSG00000115624,Gm49204,"predicted gene, 49204 [Source:MGI Symbol;Acc:MGI:6118653]","ARRAYEXPRESS,ENSG"
ENSMUSG00000096954,None,None,None,
ENSMUSG00000105824,ENSMUSG00000105824,Gm43466,predicted gene 43466 [Source:MGI Symbol;Acc:MGI:5663603],"ARRAYEXPRESS,ENSG"
ENSMUSG00000005125,ENSMUSG00000005125,Ndrg1,N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799],"ARRAYEXPRESS,ENSG"
ENSMUSG00000052949,ENSMUSG00000052949,Rnf157,ring finger protein 157 [Source:MGI Symbol;Acc:MGI:2442484],"ARRAYEXPRESS,ENSG"
ENSMUSG00000098761,ENSMUSG00000098761,Gm18821,"predicted gene, 18821 [Source:MGI Symbol;Acc:MGI:5011006]","ARRAYEXPRESS,ENSG"
ENSMUSG00000106149,ENSMUSG00000106149,Gm43430,predicted gene 43430 [Source:MGI Symbol;Acc:MGI:5663567],"ARRAYEXPRESS,ENSG"
ENSMUSG00000076907,ENSMUSG00000076907,Traj22,T cell receptor alpha joining 22 [Source:MGI Symbol;Acc:MGI:4439746],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111030,ENSMUSG00000111030,Gm47234,"predicted gene, 47234 [Source:MGI Symbol;Acc:MGI:6096052]","ARRAYEXPRESS,ENSG"
ENSMUSG00000069268,ENSMUSG00000069268,H2bc7,H2B clustered histone 7 [Source:MGI Symbol;Acc:MGI:2448383],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046668,ENSMUSG00000046668,Cxxc5,CXXC finger 5 [Source:MGI Symbol;Acc:MGI:1914643],"ARRAYEXPRESS,ENSG"
ENSMUSG00000043740,ENSMUSG00000043740,B430306N03Rik,RIKEN cDNA B430306N03 gene [Source:MGI Symbol;Acc:MGI:2443478],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111333,ENSMUSG00000111333,Gm48670,"predicted gene, 48670 [Source:MGI Symbol;Acc:MGI:6098288]","ARRAYEXPRESS,ENSG"
ENSMUSG00000106717,ENSMUSG00000106717,Gm42798,predicted gene 42798 [Source:MGI Symbol;Acc:MGI:5662935],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087131,ENSMUSG00000087131,Gm16152,predicted gene 16152 [Source:MGI Symbol;Acc:MGI:3802058],"ARRAYEXPRESS,ENSG"
ENSMUSG00000093894,ENSMUSG00000093894,Ighv1-53,immunoglobulin heavy variable 1-53 [Source:MGI Symbol;Acc:MGI:3576502],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104078,ENSMUSG00000104078,Gm37023,"predicted gene, 37023 [Source:MGI Symbol;Acc:MGI:5610251]","ARRAYEXPRESS,ENSG"
ENSMUSG00000098843,ENSMUSG00000098843,Gm27240,predicted gene 27240 [Source:MGI Symbol;Acc:MGI:5521083],"ARRAYEXPRESS,ENSG"
ENSMUSG00000015950,ENSMUSG00000015950,Ncf1,neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022848,ENSMUSG00000022848,Slc49a4,solute carrier family 49 member 4 [Source:MGI Symbol;Acc:MGI:2387188],"ARRAYEXPRESS,ENSG"
ENSMUSG00000086537,ENSMUSG00000086537,Gnasas1,GNAS antisense RNA 1 [Source:MGI Symbol;Acc:MGI:1861674],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111293,ENSMUSG00000111293,Gm34006,"predicted gene, 34006 [Source:MGI Symbol;Acc:MGI:5593165]","ARRAYEXPRESS,ENSG"
ENSMUSG00000035778,ENSMUSG00000035778,Ggta1,"glycoprotein galactosyltransferase alpha 1, 3 [Source:MGI Symbol;Acc:MGI:95704]","ARRAYEXPRESS,ENSG"
ENSMUSG00000069274,ENSMUSG00000069274,H4c6,H4 clustered histone 6 [Source:MGI Symbol;Acc:MGI:2448425],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027506,ENSMUSG00000027506,Tpd52,tumor protein D52 [Source:MGI Symbol;Acc:MGI:107749],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046070,ENSMUSG00000046070,Igfals,"insulin-like growth factor binding protein, acid labile subunit [Source:MGI Symbol;Acc:MGI:107973]","ARRAYEXPRESS,ENSG"
ENSMUSG00000097219,None,None,None,
ENSMUSG00000020649,ENSMUSG00000020649,Rrm2,ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181],"ARRAYEXPRESS,ENSG"
ENSMUSG00000105572,ENSMUSG00000105572,Gm43300,predicted gene 43300 [Source:MGI Symbol;Acc:MGI:5663437],"ARRAYEXPRESS,ENSG"
ENSMUSG00000108199,ENSMUSG00000108199,Gm44249,"predicted gene, 44249 [Source:MGI Symbol;Acc:MGI:5690641]","ARRAYEXPRESS,ENSG"
ENSMUSG00000021453,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol;Acc:MGI:1346325],"ARRAYEXPRESS,ENSG"
ENSMUSG00000065642,ENSMUSG00000065642,Snora69,"small nucleolar RNA, H/ACA box 69 [Source:MGI Symbol;Acc:MGI:2148180]","ARRAYEXPRESS,ENSG"
ENSMUSG00000045328,ENSMUSG00000045328,Cenpe,centromere protein E [Source:MGI Symbol;Acc:MGI:1098230],"ARRAYEXPRESS,ENSG"
ENSMUSG00000079057,ENSMUSG00000079057,Cyp4v3,"cytochrome P450, family 4, subfamily v, polypeptide 3 [Source:MGI Symbol;Acc:MGI:2142763]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102602,ENSMUSG00000102602,A930004J17Rik,RIKEN cDNA A930004J17 gene [Source:MGI Symbol;Acc:MGI:2442442],"ARRAYEXPRESS,ENSG"
ENSMUSG00000069300,ENSMUSG00000069300,H2bc11,H2B clustered histone 11 [Source:MGI Symbol;Acc:MGI:2448388],"ARRAYEXPRESS,ENSG"
ENSMUSG00000002055,ENSMUSG00000002055,Spag5,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470],"ARRAYEXPRESS,ENSG"
ENSMUSG00000050014,ENSMUSG00000050014,Apol10b,apolipoprotein L 10B [Source:MGI Symbol;Acc:MGI:3043522],"ARRAYEXPRESS,ENSG"
ENSMUSG00000094164,ENSMUSG00000094164,Ighv2-3,immunoglobulin heavy variable 2-3 [Source:MGI Symbol;Acc:MGI:4439872],"ARRAYEXPRESS,ENSG"
ENSMUSG00000078317,ENSMUSG00000078317,F8a,factor 8-associated gene A [Source:MGI Symbol;Acc:MGI:95474],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036777,ENSMUSG00000036777,Anln,"anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]","ARRAYEXPRESS,ENSG"
ENSMUSG00000079071,ENSMUSG00000079071,Slc28a2b,solute carrier family 28 member 2b [Source:MGI Symbol;Acc:MGI:3702173],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033955,ENSMUSG00000033955,Tnks1bp1,tankyrase 1 binding protein 1 [Source:MGI Symbol;Acc:MGI:2446193],"ARRAYEXPRESS,ENSG"
ENSMUSG00000049916,ENSMUSG00000049916,2610318N02Rik,RIKEN cDNA 2610318N02 gene [Source:MGI Symbol;Acc:MGI:1917708],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027075,ENSMUSG00000027075,Slc43a1,"solute carrier family 43, member 1 [Source:MGI Symbol;Acc:MGI:1931352]","ARRAYEXPRESS,ENSG"
ENSMUSG00000083207,ENSMUSG00000083207,Gm14780,predicted gene 14780 [Source:MGI Symbol;Acc:MGI:3705499],"ARRAYEXPRESS,ENSG"
ENSMUSG00000045928,ENSMUSG00000045928,4933440M02Rik,RIKEN cDNA 4933440M02 gene [Source:MGI Symbol;Acc:MGI:1918458],"ARRAYEXPRESS,ENSG"
ENSMUSG00000048031,ENSMUSG00000048031,Fcrl5,Fc receptor-like 5 [Source:MGI Symbol;Acc:MGI:3053558],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097300,None,None,None,
ENSMUSG00000009772,ENSMUSG00000009772,Nuak2,"NUAK family, SNF1-like kinase, 2 [Source:MGI Symbol;Acc:MGI:1921387]","ARRAYEXPRESS,ENSG"
ENSMUSG00000024143,ENSMUSG00000024143,Rhoq,ras homolog family member Q [Source:MGI Symbol;Acc:MGI:1931553],"ARRAYEXPRESS,ENSG"
ENSMUSG00000018341,ENSMUSG00000018341,Il12rb2,"interleukin 12 receptor, beta 2 [Source:MGI Symbol;Acc:MGI:1270861]","ARRAYEXPRESS,ENSG"
ENSMUSG00000034936,ENSMUSG00000034936,Arl4d,ADP-ribosylation factor-like 4D [Source:MGI Symbol;Acc:MGI:1933155],"ARRAYEXPRESS,ENSG"
ENSMUSG00000039193,ENSMUSG00000039193,Nlrc4,"NLR family, CARD domain containing 4 [Source:MGI Symbol;Acc:MGI:3036243]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041782,ENSMUSG00000041782,Lad1,ladinin [Source:MGI Symbol;Acc:MGI:109343],"ARRAYEXPRESS,ENSG"
ENSMUSG00000108522,ENSMUSG00000108522,Gm44664,predicted gene 44664 [Source:MGI Symbol;Acc:MGI:5753240],"ARRAYEXPRESS,ENSG"
ENSMUSG00000106682,ENSMUSG00000106682,Gm42648,predicted gene 42648 [Source:MGI Symbol;Acc:MGI:5662785],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027002,ENSMUSG00000027002,Nckap1,NCK-associated protein 1 [Source:MGI Symbol;Acc:MGI:1355333],"ARRAYEXPRESS,ENSG"
ENSMUSG00000067577,ENSMUSG00000067577,A430093F15Rik,RIKEN cDNA A430093F15 gene [Source:MGI Symbol;Acc:MGI:2685520],"ARRAYEXPRESS,ENSG"
ENSMUSG00000108741,ENSMUSG00000108741,Gm44553,predicted gene 44553 [Source:MGI Symbol;Acc:MGI:5753129],"ARRAYEXPRESS,ENSG"
ENSMUSG00000099708,ENSMUSG00000099708,Gm29361,predicted gene 29361 [Source:MGI Symbol;Acc:MGI:5580067],"ARRAYEXPRESS,ENSG"
ENSMUSG00000109555,ENSMUSG00000109555,Gm44891,predicted gene 44891 [Source:MGI Symbol;Acc:MGI:5753467],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027326,ENSMUSG00000027326,Knl1,kinetochore scaffold 1 [Source:MGI Symbol;Acc:MGI:1923714],"ARRAYEXPRESS,ENSG"
ENSMUSG00000061878,ENSMUSG00000061878,Sphk1,sphingosine kinase 1 [Source:MGI Symbol;Acc:MGI:1316649],"ARRAYEXPRESS,ENSG"
ENSMUSG00000050846,ENSMUSG00000050846,Zfp623,zinc finger protein 623 [Source:MGI Symbol;Acc:MGI:1926084],"ARRAYEXPRESS,ENSG"
ENSMUSG00000012123,ENSMUSG00000012123,Crybg2,crystallin beta-gamma domain containing 2 [Source:MGI Symbol;Acc:MGI:1334463],"ARRAYEXPRESS,ENSG"
ENSMUSG00000094075,ENSMUSG00000094075,Ighv1-80,immunoglobulin heavy variable 1-80 [Source:MGI Symbol;Acc:MGI:4439738],"ARRAYEXPRESS,ENSG"
ENSMUSG00000078670,ENSMUSG00000078670,Fam174b,"family with sequence similarity 174, member B [Source:MGI Symbol;Acc:MGI:3698178]","ARRAYEXPRESS,ENSG"
ENSMUSG00000023079,ENSMUSG00000023079,Gtf2ird1,general transcription factor II I repeat domain-containing 1 [Source:MGI Symbol;Acc:MGI:1861942],"ARRAYEXPRESS,ENSG"
ENSMUSG00000017146,ENSMUSG00000017146,Brca1,"breast cancer 1, early onset [Source:MGI Symbol;Acc:MGI:104537]","ARRAYEXPRESS,ENSG"
ENSMUSG00000037833,ENSMUSG00000037833,Sh2d4b,SH2 domain containing 4B [Source:MGI Symbol;Acc:MGI:1925182],"ARRAYEXPRESS,ENSG"
ENSMUSG00000024427,ENSMUSG00000024427,Spry4,sprouty RTK signaling antagonist 4 [Source:MGI Symbol;Acc:MGI:1345144],"ARRAYEXPRESS,ENSG"
ENSMUSG00000032549,ENSMUSG00000032549,Rab6b,"RAB6B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:107283]","ARRAYEXPRESS,ENSG"
ENSMUSG00000098108,ENSMUSG00000098108,Gm27008,"predicted gene, 27008 [Source:MGI Symbol;Acc:MGI:5504123]","ARRAYEXPRESS,ENSG"
ENSMUSG00000078942,ENSMUSG00000078942,Naip6,"NLR family, apoptosis inhibitory protein 6 [Source:MGI Symbol;Acc:MGI:1298222]","ARRAYEXPRESS,ENSG"
ENSMUSG00000072568,ENSMUSG00000072568,Lratd2,LRAT domain containing 1 [Source:MGI Symbol;Acc:MGI:3026924],"ARRAYEXPRESS,ENSG"
